purchase_id,purchase_date,product_id,quantity_purchased,purchase_price_inr
PR00110,2022-04-02,P138,102,1456
PR00111,2022-04-06,P115,38,310
PR00112,2022-04-07,P001,100,300
PR00113,2022-04-08,P009,20,80
PR00114,2022-04-08,P089,36,1751
PR00115,2022-04-08,P164,97,1016
PR00116,2022-04-09,P010,28,120
PR00117,2022-04-09,P061,101,2259
PR00118,2022-04-09,P161,30,1788
PR00119,2022-04-10,P060,127,1602
PR00120,2022-04-11,P040,9,213
PR00121,2022-04-12,P117,8,1866
PR00122,2022-04-14,P015,52,321
PR00123,2022-04-14,P158,6,1924
PR00124,2022-04-15,P124,136,1315
PR00125,2022-04-15,P177,32,1357
PR00126,2022-04-17,P090,28,609
PR00127,2022-04-17,P110,34,1195
PR00128,2022-04-18,P002,76,320
PR00129,2022-04-20,P174,6,1432
PR00130,2022-04-21,P143,26,788
PR00131,2022-04-23,P068,121,1381
PR00132,2022-04-24,P027,18,497
PR00133,2022-04-24,P105,8,1437
PR00134,2022-04-25,P038,141,1416
PR00135,2022-04-25,P073,62,107
PR00136,2022-04-25,P178,30,551
PR00137,2022-04-30,P125,21,931
PR00138,2022-04-30,P163,40,284
PR00139,2022-05-01,P021,6,1309
PR00140,2022-05-02,P046,28,857
PR00141,2022-05-02,P099,70,1955
PR00142,2022-05-02,P151,135,1985
PR00143,2022-05-05,P028,6,358
PR00144,2022-05-06,P024,100,2318
PR00145,2022-05-07,P011,94,1458
PR00146,2022-05-09,P074,18,2060
PR00147,2022-05-10,P043,60,1191
PR00148,2022-05-14,P086,90,1531
PR00149,2022-05-14,P133,26,1481
PR00150,2022-05-15,P091,45,2055
PR00151,2022-05-15,P156,52,116
PR00152,2022-05-16,P007,201,150
PR00153,2022-05-17,P075,34,2006
PR00154,2022-05-17,P116,6,2185
PR00155,2022-05-18,P050,8,1012
PR00156,2022-05-18,P083,57,1861
PR00157,2022-05-18,P149,82,1841
PR00158,2022-05-20,P044,78,1119
PR00159,2022-05-20,P112,10,1047
PR00160,2022-05-20,P134,177,358
PR00161,2022-05-22,P114,14,155
PR00162,2022-05-22,P146,39,1029
PR00163,2022-05-23,P070,57,1706
PR00164,2022-05-23,P117,8,1866
PR00165,2022-05-25,P034,22,347
PR00166,2022-05-26,P092,6,1028
PR00167,2022-05-27,P137,60,218
PR00168,2022-05-27,P176,48,348
PR00169,2022-05-28,P127,180,1810
PR00170,2022-05-28,P142,12,573
PR00171,2022-05-30,P019,36,1252
PR00172,2022-05-31,P049,16,2143
PR00173,2022-05-31,P122,99,2128
PR00174,2022-06-02,P119,48,1907
PR00175,2022-06-02,P150,44,384
PR00176,2022-06-03,P039,95,660
PR00177,2022-06-03,P135,42,1851
PR00178,2022-06-04,P036,22,474
PR00179,2022-06-04,P152,9,2297
PR00180,2022-06-05,P131,84,1380
PR00181,2022-06-06,P158,6,1924
PR00182,2022-06-08,P085,168,410
PR00183,2022-06-09,P101,28,1259
PR00184,2022-06-10,P148,33,470
PR00185,2022-06-11,P183,45,536
PR00186,2022-06-12,P005,66,250
PR00187,2022-06-12,P058,60,1167
PR00188,2022-06-13,P139,48,700
PR00189,2022-06-13,P173,96,2306
PR00190,2022-06-14,P055,6,1010
PR00191,2022-06-14,P165,48,364
PR00192,2022-06-15,P047,24,1722
PR00193,2022-06-16,P004,144,280
PR00194,2022-06-16,P048,28,1713
PR00195,2022-06-16,P106,57,556
PR00196,2022-06-17,P130,169,368
PR00197,2022-06-17,P187,98,1993
PR00198,2022-06-18,P166,18,2094
PR00199,2022-06-19,P132,39,372
PR00200,2022-06-19,P154,48,56
PR00201,2022-06-20,P009,20,80
PR00202,2022-06-22,P073,62,107
PR00203,2022-06-23,P006,100,280
PR00204,2022-06-24,P113,24,654
PR00205,2022-06-24,P181,33,1977
PR00206,2022-06-27,P096,133,1227
PR00207,2022-06-28,P063,78,519
PR00208,2022-06-29,P066,32,1533
PR00209,2022-06-29,P077,6,1806
PR00210,2022-06-29,P136,28,1901
PR00211,2022-06-29,P164,96,1016
PR00212,2022-06-30,P002,74,320
PR00213,2022-06-30,P162,45,1876
PR00214,2022-07-01,P008,113,180
PR00215,2022-07-03,P057,190,1490
PR00216,2022-07-04,P098,8,1616
PR00217,2022-07-06,P071,44,1908
PR00218,2022-07-10,P138,100,1456
PR00219,2022-07-12,P040,9,213
PR00220,2022-07-12,P056,110,1719
PR00221,2022-07-16,P182,54,1690
PR00222,2022-07-16,P186,6,2230
PR00223,2022-07-18,P011,94,1458
PR00224,2022-07-20,P061,102,2259
PR00225,2022-07-20,P144,60,2260
PR00226,2022-07-23,P020,36,864
PR00227,2022-07-23,P099,70,1955
PR00228,2022-07-24,P094,40,1921
PR00229,2022-07-24,P117,8,1866
PR00230,2022-07-24,P141,16,1482
PR00231,2022-07-27,P062,132,133
PR00232,2022-07-27,P174,6,1432
PR00233,2022-07-31,P092,6,1028
PR00234,2022-08-01,P180,26,418
PR00235,2022-08-03,P010,28,120
PR00236,2022-08-06,P088,44,970
PR00237,2022-08-07,P001,102,300
PR00238,2022-08-07,P178,30,551
PR00239,2022-08-08,P143,26,788
PR00240,2022-08-08,P149,82,1841
PR00241,2022-08-11,P005,64,250
PR00242,2022-08-12,P060,127,1602
PR00243,2022-08-12,P159,151,832
PR00244,2022-08-13,P053,120,1953
PR00245,2022-08-15,P024,100,2318
PR00246,2022-08-15,P026,178,447
PR00247,2022-08-15,P041,21,775
PR00248,2022-08-16,P147,38,1764
PR00249,2022-08-18,P110,34,1195
PR00250,2022-08-19,P068,120,1381
PR00251,2022-08-19,P073,64,107
PR00252,2022-08-23,P054,30,1994
PR00253,2022-08-23,P140,56,1400
PR00254,2022-08-25,P017,48,422
PR00255,2022-08-25,P082,38,424
PR00256,2022-08-26,P036,22,474
PR00257,2022-08-27,P012,15,1531
PR00258,2022-08-28,P044,76,1119
PR00259,2022-08-28,P145,164,728
PR00260,2022-08-29,P124,136,1315
PR00261,2022-09-01,P050,8,1012
PR00262,2022-09-02,P034,22,347
PR00263,2022-09-02,P115,38,310
PR00264,2022-09-02,P131,84,1380
PR00265,2022-09-03,P107,151,2349
PR00266,2022-09-04,P086,88,1531
PR00267,2022-09-04,P102,24,992
PR00268,2022-09-04,P151,135,1985
PR00269,2022-09-05,P021,6,1309
PR00270,2022-09-07,P055,6,1010
PR00271,2022-09-09,P098,8,1616
PR00272,2022-09-09,P177,32,1357
PR00273,2022-09-11,P042,45,208
PR00274,2022-09-12,P097,149,279
PR00275,2022-09-12,P174,6,1432
PR00276,2022-09-13,P047,24,1722
PR00277,2022-09-15,P077,6,1806
PR00278,2022-09-15,P095,24,1678
PR00279,2022-09-15,P105,8,1437
PR00280,2022-09-16,P051,51,2407
PR00281,2022-09-17,P067,42,2476
PR00282,2022-09-17,P122,100,2128
PR00283,2022-09-20,P075,34,2006
PR00284,2022-09-21,P038,141,1416
PR00285,2022-09-23,P084,64,1365
PR00286,2022-09-24,P129,40,769
PR00287,2022-09-25,P002,74,320
PR00288,2022-09-26,P185,12,2161
PR00289,2022-09-27,P063,78,519
PR00290,2022-09-28,P039,95,660
PR00291,2022-09-29,P142,12,573
PR00292,2022-09-30,P116,6,2185
PR00293,2022-10-01,P019,36,1252
PR00294,2022-10-01,P104,185,591
PR00295,2022-10-01,P172,60,1295
PR00296,2022-10-03,P072,57,2033
PR00297,2022-10-04,P048,28,1713
PR00298,2022-10-05,P003,80,750
PR00299,2022-10-05,P016,57,1060
PR00300,2022-10-05,P037,54,1454
PR00301,2022-10-05,P065,60,1804
PR00302,2022-10-05,P133,26,1481
PR00303,2022-10-05,P164,98,1016
PR00304,2022-10-07,P056,108,1719
PR00305,2022-10-07,P101,28,1259
PR00306,2022-10-09,P099,71,1955
PR00307,2022-10-10,P005,66,250
PR00308,2022-10-11,P146,39,1029
PR00309,2022-10-11,P167,44,605
PR00310,2022-10-11,P187,98,1993
PR00311,2022-10-12,P006,98,280
PR00312,2022-10-12,P009,20,80
PR00313,2022-10-12,P087,52,2035
PR00314,2022-10-13,P025,76,1190
PR00315,2022-10-13,P078,68,2310
PR00316,2022-10-14,P152,9,2297
PR00317,2022-10-15,P011,94,1458
PR00318,2022-10-15,P079,15,1909
PR00319,2022-10-15,P173,96,2306
PR00320,2022-10-16,P022,24,575
PR00321,2022-10-16,P033,14,2365
PR00322,2022-10-18,P028,6,358
PR00323,2022-10-18,P157,176,1493
PR00324,2022-10-18,P158,6,1924
PR00325,2022-10-20,P113,24,654
PR00326,2022-10-22,P073,62,107
PR00327,2022-10-22,P081,27,1698
PR00328,2022-10-23,P008,111,180
PR00329,2022-10-23,P014,52,1155
PR00330,2022-10-23,P074,18,2060
PR00331,2022-10-23,P148,33,470
PR00332,2022-10-23,P184,16,1694
PR00333,2022-10-25,P138,101,1456
PR00334,2022-10-26,P143,26,788
PR00335,2022-10-27,P045,15,2144
PR00336,2022-10-28,P149,82,1841
PR00337,2022-10-28,P186,6,2230
PR00338,2022-11-01,P136,28,1901
PR00339,2022-11-01,P174,6,1432
PR00340,2022-11-02,P175,56,174
PR00341,2022-11-03,P044,78,1119
PR00342,2022-11-04,P117,8,1866
PR00343,2022-11-04,P123,76,1807
PR00344,2022-11-05,P077,6,1806
PR00345,2022-11-06,P020,36,864
PR00346,2022-11-07,P092,6,1028
PR00347,2022-11-07,P098,8,1616
PR00348,2022-11-08,P055,6,1010
PR00349,2022-11-08,P116,6,2185
PR00350,2022-11-10,P024,100,2318
PR00351,2022-11-10,P061,102,2259
PR00352,2022-11-11,P181,33,1977
PR00353,2022-11-12,P010,28,120
PR00354,2022-11-12,P180,26,418
PR00355,2022-11-13,P015,52,321
PR00356,2022-11-13,P096,134,1227
PR00357,2022-11-13,P131,83,1380
PR00358,2022-11-14,P021,6,1309
PR00359,2022-11-14,P036,22,474
PR00360,2022-11-14,P091,45,2055
PR00361,2022-11-15,P027,18,497
PR00362,2022-11-15,P062,134,133
PR00363,2022-11-16,P110,34,1195
PR00364,2022-11-17,P053,120,1953
PR00365,2022-11-17,P085,169,410
PR00366,2022-11-18,P034,22,347
PR00367,2022-11-19,P127,181,1810
PR00368,2022-11-19,P134,176,358
PR00369,2022-11-20,P001,100,300
PR00370,2022-11-20,P004,144,280
PR00371,2022-11-20,P112,10,1047
PR00372,2022-11-22,P040,9,213
PR00373,2022-11-23,P063,78,519
PR00374,2022-11-23,P135,42,1851
PR00375,2022-11-23,P153,76,1922
PR00376,2022-11-24,P002,74,320
PR00377,2022-11-25,P005,64,250
PR00378,2022-11-25,P007,201,150
PR00379,2022-11-25,P066,32,1533
PR00380,2022-11-25,P162,45,1876
PR00381,2022-11-26,P105,8,1437
PR00382,2022-11-26,P169,20,157
PR00383,2022-11-26,P176,48,348
PR00384,2022-11-27,P047,24,1722
PR00385,2022-11-28,P009,20,80
PR00386,2022-11-28,P086,88,1531
PR00387,2022-11-28,P188,76,1607
PR00388,2022-11-29,P060,126,1602
PR00389,2022-11-29,P178,30,551
PR00390,2022-11-29,P189,68,1741
PR00391,2022-11-30,P039,94,660
PR00392,2022-11-30,P099,72,1955
PR00393,2022-11-30,P130,168,368
PR00394,2022-12-02,P156,52,116
PR00395,2022-12-03,P114,14,155
PR00396,2022-12-03,P183,45,536
PR00397,2022-12-04,P141,16,1482
PR00398,2022-12-06,P068,121,1381
PR00399,2022-12-07,P124,136,1315
PR00400,2022-12-08,P174,6,1432
PR00401,2022-12-10,P058,60,1167
PR00402,2022-12-10,P073,63,107
PR00403,2022-12-10,P165,48,364
PR00404,2022-12-11,P116,6,2185
PR00405,2022-12-14,P132,39,372
PR00406,2022-12-14,P164,98,1016
PR00407,2022-12-14,P185,12,2161
PR00408,2022-12-15,P032,16,330
PR00409,2022-12-15,P122,99,2128
PR00410,2022-12-15,P150,44,384
PR00411,2022-12-17,P117,8,1866
PR00412,2022-12-17,P177,32,1357
PR00413,2022-12-18,P031,36,299
PR00414,2022-12-19,P043,60,1191
PR00415,2022-12-21,P011,96,1458
PR00416,2022-12-22,P006,98,280
PR00417,2022-12-23,P075,34,2006
PR00418,2022-12-24,P071,44,1908
PR00419,2022-12-24,P159,150,832
PR00420,2022-12-24,P168,60,1278
PR00421,2022-12-28,P154,48,56
PR00422,2022-12-29,P115,38,310
PR00423,2022-12-29,P149,83,1841
PR00424,2022-12-30,P187,98,1993
PR00425,2023-01-01,P139,48,700
PR00426,2023-01-01,P158,6,1924
PR00427,2023-01-02,P021,6,1309
PR00428,2023-01-03,P056,110,1719
PR00429,2023-01-03,P107,150,2349
PR00430,2023-01-04,P143,26,788
PR00431,2023-01-05,P048,28,1713
PR00432,2023-01-05,P067,42,2476
PR00433,2023-01-06,P151,135,1985
PR00434,2023-01-07,P018,80,1967
PR00435,2023-01-08,P055,6,1010
PR00436,2023-01-08,P088,44,970
PR00437,2023-01-09,P082,38,424
PR00438,2023-01-09,P094,40,1921
PR00439,2023-01-11,P101,28,1259
PR00440,2023-01-11,P147,38,1764
PR00441,2023-01-11,P173,95,2306
PR00442,2023-01-13,P119,48,1907
PR00443,2023-01-14,P126,36,253
PR00444,2023-01-15,P012,15,1531
PR00445,2023-01-15,P050,8,1012
PR00446,2023-01-15,P092,6,1028
PR00447,2023-01-15,P160,36,1851
PR00448,2023-01-16,P026,176,447
PR00449,2023-01-16,P044,78,1119
PR00450,2023-01-16,P116,6,2185
PR00451,2023-01-16,P186,6,2230
PR00452,2023-01-17,P097,148,279
PR00453,2023-01-17,P113,24,654
PR00454,2023-01-18,P057,190,1490
PR00455,2023-01-18,P083,57,1861
PR00456,2023-01-19,P005,64,250
PR00457,2023-01-19,P042,45,208
PR00458,2023-01-20,P070,57,1706
PR00459,2023-01-21,P174,6,1432
PR00460,2023-01-22,P002,74,320
PR00461,2023-01-22,P008,111,180
PR00462,2023-01-23,P028,6,358
PR00463,2023-01-23,P038,141,1416
PR00464,2023-01-23,P152,9,2297
PR00465,2023-01-25,P133,26,1481
PR00466,2023-01-25,P138,100,1456
PR00467,2023-01-28,P019,36,1252
PR00468,2023-01-28,P171,80,575
PR00469,2023-01-29,P131,84,1380
PR00470,2023-02-03,P061,100,2259
PR00471,2023-02-03,P140,56,1400
PR00472,2023-02-04,P024,100,2318
PR00473,2023-02-04,P142,12,573
PR00474,2023-02-06,P073,62,107
PR00475,2023-02-06,P117,8,1866
PR00476,2023-02-07,P063,79,519
PR00477,2023-02-08,P034,22,347
PR00478,2023-02-08,P099,72,1955
PR00479,2023-02-10,P137,60,218
PR00480,2023-02-10,P161,30,1788
PR00481,2023-02-11,P145,164,728
PR00482,2023-02-12,P167,44,605
PR00483,2023-02-13,P106,57,556
PR00484,2023-02-13,P182,54,1690
PR00485,2023-02-14,P098,8,1616
PR00486,2023-02-17,P125,21,931
PR00487,2023-02-18,P052,30,946
PR00488,2023-02-20,P036,22,474
PR00489,2023-02-20,P047,24,1722
PR00490,2023-02-20,P049,16,2143
PR00491,2023-02-20,P112,10,1047
PR00492,2023-02-21,P017,48,422
PR00493,2023-02-23,P144,60,2260
PR00494,2023-02-24,P039,94,660
PR00495,2023-02-24,P086,88,1531
PR00496,2023-02-25,P180,26,418
PR00497,2023-02-27,P010,28,120
PR00498,2023-03-01,P181,33,1977
PR00499,2023-03-02,P158,6,1924
PR00500,2023-03-02,P178,30,551
PR00501,2023-03-03,P021,6,1309
PR00502,2023-03-05,P110,34,1195
PR00503,2023-03-06,P136,28,1901
PR00504,2023-03-07,P001,100,300
PR00505,2023-03-07,P087,52,2035
PR00506,2023-03-09,P116,6,2185
PR00507,2023-03-12,P077,6,1806
PR00508,2023-03-13,P046,28,857
PR00509,2023-03-15,P066,32,1533
PR00510,2023-03-15,P105,8,1437
PR00511,2023-03-15,P148,33,470
PR00512,2023-03-16,P037,54,1454
PR00513,2023-03-17,P166,18,2094
PR00514,2023-03-18,P009,20,80
PR00515,2023-03-18,P013,80,1544
PR00516,2023-03-18,P092,6,1028
PR00517,2023-03-20,P149,82,1841
PR00518,2023-03-22,P185,12,2161
PR00519,2023-03-23,P053,121,1953
PR00520,2023-03-23,P062,132,133
PR00521,2023-03-23,P104,185,591
PR00522,2023-03-25,P051,51,2407
PR00523,2023-03-25,P164,97,1016
PR00524,2023-03-26,P040,9,213
PR00525,2023-03-27,P005,65,250
PR00526,2023-03-27,P146,39,1029
PR00527,2023-03-29,P016,57,1060
PR00528,2023-03-29,P073,62,107
PR00529,2023-03-29,P096,133,1227
PR00530,2023-03-29,P162,45,1876
PR00531,2023-03-31,P002,74,320
PR00532,2023-04-01,P028,6,358
PR00533,2023-04-01,P079,15,1909
PR00534,2023-04-01,P172,60,1295
PR00535,2023-04-02,P006,99,280
PR00536,2023-04-05,P068,120,1381
PR00537,2023-04-05,P124,136,1315
PR00538,2023-04-08,P048,28,1713
PR00539,2023-04-08,P187,97,1993
PR00540,2023-04-09,P075,34,2006
PR00541,2023-04-09,P113,24,654
PR00542,2023-04-11,P044,76,1119
PR00543,2023-04-11,P099,70,1955
PR00544,2023-04-12,P011,94,1458
PR00545,2023-04-12,P157,178,1493
PR00546,2023-04-13,P045,15,2144
PR00547,2023-04-13,P143,26,788
PR00548,2023-04-13,P173,94,2306
PR00549,2023-04-13,P186,6,2230
PR00550,2023-04-14,P101,28,1259
PR00551,2023-04-14,P122,99,2128
PR00552,2023-04-16,P033,14,2365
PR00553,2023-04-16,P085,168,410
PR00554,2023-04-16,P184,16,1694
PR00555,2023-04-17,P012,15,1531
PR00556,2023-04-17,P023,30,1684
PR00557,2023-04-17,P060,127,1602
PR00558,2023-04-19,P063,79,519
PR00559,2023-04-20,P158,6,1924
PR00560,2023-04-21,P133,26,1481
PR00561,2023-04-21,P177,32,1357
PR00562,2023-04-24,P056,109,1719
PR00563,2023-04-25,P152,9,2297
PR00564,2023-04-26,P138,102,1456
PR00565,2023-04-27,P024,101,2318
PR00566,2023-04-27,P117,8,1866
PR00567,2023-04-27,P134,177,358
PR00568,2023-04-28,P175,56,174
PR00569,2023-04-29,P114,14,155
PR00570,2023-04-30,P072,57,2033
PR00571,2023-05-01,P131,83,1380
PR00572,2023-05-03,P050,8,1012
PR00573,2023-05-05,P090,28,609
PR00574,2023-05-08,P004,144,280
PR00575,2023-05-11,P034,22,347
PR00576,2023-05-13,P021,6,1309
PR00577,2023-05-13,P098,8,1616
PR00578,2023-05-13,P174,6,1432
PR00579,2023-05-14,P065,60,1804
PR00580,2023-05-17,P061,100,2259
PR00581,2023-05-18,P002,76,320
PR00582,2023-05-18,P028,6,358
PR00583,2023-05-18,P073,63,107
PR00584,2023-05-18,P086,89,1531
PR00585,2023-05-18,P151,137,1985
PR00586,2023-05-19,P055,6,1010
PR00587,2023-05-19,P130,168,368
PR00588,2023-05-20,P047,24,1722
PR00589,2023-05-20,P077,6,1806
PR00590,2023-05-20,P149,82,1841
PR00591,2023-05-21,P039,94,660
PR00592,2023-05-22,P127,181,1810
PR00593,2023-05-23,P091,45,2055
PR00594,2023-05-27,P116,6,2185
PR00595,2023-05-28,P020,36,864
PR00596,2023-05-28,P082,38,424
PR00597,2023-05-28,P141,16,1482
PR00598,2023-05-29,P074,18,2060
PR00599,2023-05-29,P107,150,2349
PR00600,2023-05-31,P005,65,250
PR00601,2023-05-31,P015,52,321
PR00602,2023-06-01,P178,30,551
PR00603,2023-06-04,P186,6,2230
PR00604,2023-06-05,P036,22,474
PR00605,2023-06-06,P159,150,832
PR00606,2023-06-07,P007,200,150
PR00607,2023-06-07,P008,112,180
PR00608,2023-06-07,P014,52,1155
PR00609,2023-06-07,P135,42,1851
PR00610,2023-06-08,P132,39,372
PR00611,2023-06-09,P009,20,80
PR00612,2023-06-11,P097,148,279
PR00613,2023-06-12,P165,48,364
PR00614,2023-06-14,P092,6,1028
PR00615,2023-06-14,P183,45,536
PR00616,2023-06-15,P044,78,1119
PR00617,2023-06-15,P105,8,1437
PR00618,2023-06-15,P117,8,1866
PR00619,2023-06-16,P010,28,120
PR00620,2023-06-16,P022,24,575
PR00621,2023-06-18,P038,140,1416
PR00622,2023-06-18,P156,52,116
PR00623,2023-06-20,P001,101,300
PR00624,2023-06-20,P095,24,1678
PR00625,2023-06-20,P136,28,1901
PR00626,2023-06-21,P026,178,447
PR00627,2023-06-21,P067,42,2476
PR00628,2023-06-22,P071,44,1908
PR00629,2023-06-22,P115,38,310
PR00630,2023-06-22,P158,6,1924
PR00631,2023-06-23,P116,6,2185
PR00632,2023-06-25,P099,72,1955
PR00633,2023-06-25,P180,26,418
PR00634,2023-06-26,P148,33,470
PR00635,2023-06-28,P054,30,1994
PR00636,2023-06-28,P164,96,1016
PR00637,2023-06-29,P185,12,2161
PR00638,2023-07-04,P112,10,1047
PR00639,2023-07-04,P123,76,1807
PR00640,2023-07-06,P032,16,330
PR00641,2023-07-06,P055,6,1010
PR00642,2023-07-06,P103,28,1315
PR00643,2023-07-09,P006,98,280
PR00644,2023-07-09,P063,80,519
PR00645,2023-07-09,P187,96,1993
PR00646,2023-07-10,P147,38,1764
PR00647,2023-07-11,P119,48,1907
PR00648,2023-07-11,P173,95,2306
PR00649,2023-07-11,P181,33,1977
PR00650,2023-07-12,P084,64,1365
PR00651,2023-07-14,P113,24,654
PR00652,2023-07-16,P154,48,56
PR00653,2023-07-17,P042,45,208
PR00654,2023-07-20,P041,21,775
PR00655,2023-07-21,P025,76,1190
PR00656,2023-07-21,P168,60,1278
PR00657,2023-07-23,P077,6,1806
PR00658,2023-07-23,P122,99,2128
PR00659,2023-07-24,P131,82,1380
PR00660,2023-07-24,P176,48,348
PR00661,2023-07-25,P021,6,1309
PR00662,2023-07-25,P094,40,1921
PR00663,2023-07-29,P011,94,1458
PR00664,2023-07-31,P005,64,250
PR00665,2023-07-31,P073,62,107
PR00666,2023-07-31,P145,165,728
PR00667,2023-08-01,P110,34,1195
PR00668,2023-08-02,P083,57,1861
PR00669,2023-08-03,P053,120,1953
PR00670,2023-08-04,P017,48,422
PR00671,2023-08-04,P150,44,384
PR00672,2023-08-05,P019,36,1252
PR00673,2023-08-06,P149,82,1841
PR00674,2023-08-06,P167,44,605
PR00675,2023-08-07,P066,32,1533
PR00676,2023-08-07,P138,100,1456
PR00677,2023-08-08,P028,6,358
PR00678,2023-08-08,P137,60,218
PR00679,2023-08-09,P186,6,2230
PR00680,2023-08-10,P068,121,1381
PR00681,2023-08-11,P174,6,1432
PR00682,2023-08-12,P056,109,1719
PR00683,2023-08-12,P139,48,700
PR00684,2023-08-15,P062,133,133
PR00685,2023-08-15,P092,6,1028
PR00686,2023-08-15,P096,133,1227
PR00687,2023-08-16,P101,28,1259
PR00688,2023-08-17,P002,74,320
PR00689,2023-08-18,P146,39,1029
PR00690,2023-08-19,P040,9,213
PR00691,2023-08-19,P057,188,1490
PR00692,2023-08-21,P133,26,1481
PR00693,2023-08-22,P189,68,1741
PR00694,2023-08-23,P044,78,1119
PR00695,2023-08-24,P043,60,1191
PR00696,2023-08-26,P098,8,1616
PR00697,2023-08-28,P086,89,1531
PR00698,2023-08-28,P143,26,788
PR00699,2023-08-31,P075,34,2006
PR00700,2023-08-31,P088,44,970
PR00701,2023-09-02,P050,8,1012
PR00702,2023-09-02,P058,60,1167
PR00703,2023-09-03,P116,6,2185
PR00704,2023-09-04,P024,101,2318
PR00705,2023-09-04,P078,68,2310
PR00706,2023-09-11,P124,138,1315
PR00707,2023-09-11,P140,56,1400
PR00708,2023-09-12,P048,28,1713
PR00709,2023-09-13,P061,100,2259
